poly	dimer	lattice	
10	100	0.0
10	500	0.0
10	1000	0.0
10	5000	0.0
10	10000	0.0
10	50000	0.0
10	100000	0.0
10	500000	0.0
10	1000000	0.0
10	5000000	0.0
50	100	0.0
50	500	0.0
50	1000	0.0
50	5000	0.0
50	10000	0.0
50	50000	0.0
50	100000	0.0
50	500000	0.0
50	1000000	0.0
50	5000000	0.0
100	100	0.0
100	500	0.0
100	1000	0.0
100	5000	0.0
100	10000	0.0
100	50000	0.0
100	100000	0.0
100	500000	0.0
100	1000000	0.0
100	5000000	0.0
500	100	0.0
500	500	0.0
500	1000	0.0
500	5000	0.0
500	10000	0.0
500	50000	0.0
500	100000	0.0
500	500000	0.0
500	1000000	0.0
500	5000000	0.0
1000	100	0.0
1000	500	0.0
1000	1000	0.0
1000	5000	0.0
1000	10000	0.0
1000	50000	0.0
1000	100000	0.0
1000	500000	0.0
1000	1000000	0.0
1000	5000000	0.0
5000	100	0.0
5000	500	0.0
5000	1000	0.0
5000	5000	0.0
5000	10000	0.0
5000	50000	0.0
5000	100000	3.0
5000	500000	5.0
5000	1000000	7.0
5000	5000000	7.0
10000	100	0.0
10000	500	0.0
10000	1000	0.0
10000	5000	0.0
10000	10000	0.0
10000	50000	12.0
10000	100000	13.0
10000	500000	14.0
10000	1000000	14.0
10000	5000000	14.0
50000	100	0.0
50000	500	0.0
50000	1000	3.0
50000	5000	13.0
50000	10000	14.0
50000	50000	16.0
50000	100000	16.0
50000	500000	17.0
50000	1000000	18.0
50000	5000000	17.0
100000	100	3.0
100000	500	7.0
100000	1000	11.0
100000	5000	13.0
100000	10000	16.0
100000	50000	17.0
100000	100000	18.0
100000	500000	18.0
100000	1000000	19.0
100000	5000000	19.0
500000	100	15.0
500000	500	14.0
500000	1000	16.0
500000	5000	16.0
500000	10000	16.0
500000	50000	18.0
500000	100000	18.0
500000	500000	19.0
500000	1000000	19.0
500000	5000000	19.0
